,from_account,to_account,amount,type,date
0,user_72,merchant_2,59.53,transaction,2023-11-01
1,user_44,user_12,32.56,transaction,2023-11-01
2,user_19,merchant_10,91.49,transaction,2023-11-03
3,user_35,merchant_8,135.76,transaction,2023-11-03
4,user_45,user_25,29.54,transaction,2023-11-03
5,user_58,user_17,7.66,transaction,2023-11-04
6,user_33,merchant_2,88.56,transaction,2023-11-04
7,user_50,user_94,21.83,transaction,2023-11-04
8,user_53,user_8,19.2,transaction,2023-11-04
9,user_45,merchant_3,129.18,transaction,2023-11-06
10,user_86,user_87,21.16,transaction,2023-11-06
11,user_52,merchant_7,52.61,transaction,2023-11-06
12,user_66,merchant_9,92.12,transaction,2023-11-07
13,user_15,user_28,28.23,transaction,2023-11-07
14,user_47,merchant_6,77.99,transaction,2023-11-07
15,user_60,merchant_3,180.34,transaction,2023-11-09
16,user_77,merchant_4,79.07,transaction,2023-11-10
17,user_48,user_30,40.22,transaction,2023-11-10
18,user_98,merchant_1,93.35,transaction,2023-11-10
19,user_100,merchant_3,183.53,transaction,2023-11-11
20,user_53,merchant_8,20.27,transaction,2023-11-11
21,user_51,user_36,29.84,transaction,2023-11-12
22,user_12,merchant_8,180.49,transaction,2023-11-13
23,merchant_1,user_98,61.08,refund,2023-11-13
24,user_5,merchant_8,25.38,transaction,2023-11-13
25,user_73,merchant_6,42.08,transaction,2023-11-14
26,merchant_3,user_60,91.43,refund,2023-11-14
27,user_1,user_54,13.81,transaction,2023-11-14
28,user_86,user_47,12.3,transaction,2023-11-14
29,user_40,merchant_2,142.62,transaction,2023-11-15
30,user_28,user_12,6.66,transaction,2023-11-15
31,user_2,user_66,45.68,transaction,2023-11-15
32,user_4,merchant_8,47.32,transaction,2023-11-15
33,user_61,user_40,9.63,transaction,2023-11-15
34,user_21,merchant_3,60.06,transaction,2023-11-16
35,merchant_4,user_77,72.02,refund,2023-11-16
36,merchant_8,user_53,16.12,refund,2023-11-16
37,user_54,user_79,10.97,transaction,2023-11-16
38,user_49,merchant_5,72.47,transaction,2023-11-17
39,user_29,merchant_3,77.34,transaction,2023-11-17
40,user_39,merchant_4,174.62,transaction,2023-11-18
41,user_55,merchant_8,49.91,transaction,2023-11-18
42,user_24,merchant_2,57.05,transaction,2023-11-18
43,user_81,merchant_5,75.69,transaction,2023-11-19
44,user_69,user_31,21.9,transaction,2023-11-19
45,user_18,merchant_10,120.47,transaction,2023-11-19
46,user_71,merchant_9,43.91,transaction,2023-11-20
47,merchant_8,user_5,14.02,refund,2023-11-20
48,user_92,user_65,37.89,transaction,2023-11-20
49,user_17,merchant_5,185.6,transaction,2023-11-21
50,merchant_3,user_29,59.51,refund,2023-11-21
51,user_24,user_56,20.19,transaction,2023-11-21
52,user_60,merchant_5,85.83,transaction,2023-11-21
53,user_46,user_85,34.04,transaction,2023-11-22
54,user_61,user_20,21.41,transaction,2023-11-22
55,merchant_3,user_21,51.94,refund,2023-11-22
56,merchant_4,user_39,121.8,refund,2023-11-22
57,merchant_2,user_24,35.43,refund,2023-11-22
58,user_77,user_96,30.37,transaction,2023-11-23
59,user_76,merchant_8,178.88,transaction,2023-11-24
60,user_87,merchant_7,121.43,transaction,2023-11-24
61,user_31,merchant_4,116.53,transaction,2023-11-25
62,user_14,merchant_10,15.86,transaction,2023-11-25
63,merchant_10,user_18,101.55,refund,2023-11-25
64,user_63,merchant_4,34.77,transaction,2023-11-25
65,user_46,user_63,17.93,transaction,2023-11-26
66,user_83,user_4,26.63,transaction,2023-11-26
67,user_91,merchant_2,89.86,transaction,2023-11-26
68,user_68,merchant_2,156.11,transaction,2023-11-26
69,merchant_5,user_81,42.86,refund,2023-11-26
70,user_57,merchant_8,38.59,transaction,2023-11-27
71,user_44,user_58,47.96,transaction,2023-11-27
72,user_59,merchant_3,103.22,transaction,2023-11-28
73,user_63,user_2,13.93,transaction,2023-11-28
74,user_35,user_20,15.4,transaction,2023-11-28
75,user_38,user_30,16.17,transaction,2023-11-28
76,merchant_10,user_14,9.28,refund,2023-11-28
77,user_8,merchant_8,105.74,transaction,2023-11-29
78,user_9,merchant_6,173.0,transaction,2023-11-29
79,user_87,user_20,16.13,transaction,2023-11-29
80,user_80,merchant_3,187.06,transaction,2023-11-29
81,user_90,merchant_5,140.78,transaction,2023-11-29
82,merchant_2,user_68,139.58,refund,2023-11-29
83,merchant_4,user_63,32.57,refund,2023-11-29
84,user_26,user_98,34.04,transaction,2023-11-30
85,user_92,merchant_3,131.04,transaction,2023-11-30
